搜索字段,商品名称,价格,店铺名称,颜色,评论数,图片,店铺ID,卖点,skuId,总销量,商品ID
电脑电源 500W 自营,大水牛（BUBALUS）额定500W 劲睿500台式电脑主机电源（80PLUS白牌认证/主动式PFC/12CM温控风扇/支持背线/宽幅）,134.00,大水牛京东自营旗舰店,白牌劲睿500W,20万+,jfs/t1/388756/17/15540/49333/697c7909Fe1ae913a/0083320320f488cf.jpg,1000000707,500人已回购;400+店铺会员已买;900+人收藏,100051724357,70万+,100051724357
电脑电源 500W 自营,长城（Great Wall）额定500W HOPE-6000DS电脑电源 （双8PIN/75cm长线材/温控风扇/宽幅/独立开关）,209.00,长城 GreatWall 京东自营旗舰店,500W直出【HOPE-6000DS 双8PIN】,50万+,jfs/t1/286474/10/17841/113494/688acd1bFe01890c0/9f0c2fe9b15590a4.jpg,1000007264,优质稳定;标准尺寸;独立开关设计;温控静音风扇,876229,90万+,876229
电脑电源 500W 自营,航嘉（Huntkey）WD500K 金牌500W电脑电源（80PLUS金牌/单路40A/全电压/LLC+SR+DC-DC/智能温控/apex英雄）,259.00,航嘉 Huntkey 京东自营旗舰店,500W金牌直出,50万+,jfs/t1/204421/19/12205/436147/6170efddE3613aacc/4cfeb83284b760d9.jpg,1000000265,高效能;金牌认证;全电压适用;智能温控,100004925348,70万+,100004925348
电脑电源 500W 自营,爱国者（aigo）额定500W 黑暗骑士650DK 台式机电脑电源 主动式PFC/宽幅输出/高品质电容/支持背线/大单路12V,139.00,爱国者DIY京东自营旗舰店,650DK|500W|主动式PFC,20万+,jfs/t1/316797/5/20746/192848/688b37eeF6abeac73/1631e54933fbd486.jpg,1000000416,温控管理;多场景适用;高效能;压纹扁线,100002688808,40万+,100002688808
电脑电源 500W 自营,技嘉（GIGABYTE）额定550W GP-P550SS电源(3年质保/80Plus银牌/12CM静音风扇/直出式/台式机电源),229.00,技嘉京东自营旗舰店,550W/80PLUS银牌认证/智能温控,1000+,jfs/t1/425765/14/12606/143878/69f323acFec93cfa5/0083320320bdaafd.jpg,1000000297,黑色扁平线材;1万+人加购;ATX 3.0,100000668178,1000+,100000668178
电脑电源 500W 自营,利民（thermalright） 额定500W TR-ABFX500 SFX直出小机箱电源 带ATX电源转接板 80PLUS铜牌认证,269.00,利民Thermalright京东自营旗舰店,TR-ABFX500 ,1000+,jfs/t1/257241/6/1477/57703/67668be6F35362179/18c49c92697537c6.jpg,1000099731,80铜牌认证;多重安全保护;SFX直出电源;500W功率;转接便捷;小巧紧凑;适配多样;铜牌认证;高效节能;SFX尺寸,100131392305,1000+,100131392305
电脑电源 500W 自营,航嘉（Huntkey）JUMPER500S 额定500W 电脑电源(主动PFC/双管正激/宽幅电压/背部走线/智能温控),219.00,航嘉 Huntkey 京东自营旗舰店,500W,50万+,jfs/t1/196367/11/22090/397984/624409edE0de7e008/94e33f6dcd4d4061.jpg,1000000265,宽幅电压;经典爆品;经济游戏;智能温控;背部走线;可靠稳定;流畅运行;节省空间;非模组化设计;高效节能,8927941,70万+,8927941
电脑电源 500W 自营,爱国者（aigo）黑暗骑士650DK 额定500W白牌 台式机电脑电源 主动式PFC/80PLUS认证/高品质电容/支持背线GP500xy,149.00,爱国者DIY京东自营旗舰店,新升级白牌|650DK|额定500W,20万+,jfs/t1/416742/10/21183/324166/69e1f1a3Fccd66971/008332032002f729.jpg,1000000416,额定500W;80PLUS白牌;背线设计;高品质电容;高效节能;主动式PFC;500W额定,100320887252,40万+,100320887252
电脑电源 500W 自营,超频3（PCCOOLER）GI-FX500白 额定500W  SFX电源 (支持3060显卡/主动式/铜牌认证）,299.00,超频三京东自营旗舰店,500W（SFX电源FX500）,2000+,jfs/t1/118506/9/24089/173260/623d6616Ea1926597/d4debfcd8d82d523.jpg,1000000670,SFX小电源;铜牌认证;支持3060;稳定供电;兼容性强;支持3060显卡;500W功率;主动散热;非模组设计;静音运行,100020566441,2000+,100020566441
电脑电源 500W 自营,大水牛（BUBALUS）额定500W FX500白色台式电脑电源（80PLUS金牌认证/宽幅/扁平线材/智能温控/主动式PFC） ,229.00,大水牛京东自营旗舰店,金牌FX500W白色,2万+,jfs/t1/291666/14/14487/85470/685b8c74Fced662fa/0b49d537dfb44443.jpg,1000000707,五年质保;支持5060;高效节能;宽幅供电;智能温控;高效转换;稳定输出;灵活安装;超静音运行;扁平线材,100076991897,2万+,100076991897
电脑电源 500W 自营,海韵（SEASONIC）【S12III 经典】500W 铜牌电源｜办公/家用高耐用首选,349.00,海韵（SEASONIC）京东自营旗舰店,S12III-500铜牌/直出,1万+,jfs/t1/392906/24/5507/84776/697b326cF511cd2b9/0083320320173996.jpg,1000097385,铜牌电源;智能温控;LLC架构;经典铜牌;高端体验;经典设计;非模组化;优质架构;稳定输出;散热良好,100007539348,1万+,100007539348
电脑电源 500W 自营,利民（thermalright）额定500W TR-ABFX500-W SFX直出小机箱电源 带ATX电源转接板 80PLUS铜牌认证,279.00,利民Thermalright京东自营旗舰店,TR-ABFX500-W,1000+,jfs/t1/260336/18/1159/63359/67668aecF8bd01ccf/f17d9ac630811f1b.jpg,1000099731,SFX直出电源;80铜牌认证;多重安全保护;高效节能;500W功率;SFX设计;铜牌认证;ATX转接;小巧紧凑,100161402338,1000+,100161402338
电脑电源 500W 自营,大水牛（BUBALUS）灵拓+白牌500W机箱电源套装(0.8mm厚五金板材/支持M-ATX主板/独立锁主板底板/USB3.0/一体成型),299.00,大水牛京东自营旗舰店,灵拓M-ATX/配白牌500W,5万+,jfs/t1/411104/19/16234/35832/69ce2f7eF3013ef32/008332032076e8a6.jpg,1000000707,超10万人店内购买;配500W电源;一体成型,100340426368,10万+,100340426368
电脑电源 500W 自营,先马（SAMA）金牌500W 额定功率500W 台式电脑机箱电源 80PLUS金牌/主动PFC/LLC谐振电路/固态电容,239.00,先马SAMA京东自营旗舰店,24K金牌500W(经典爆款 好评如潮),10万+,jfs/t1/408881/28/3534/77407/69c2495dF949f5089/00833203202b1e25.jpg,1000000423,主动式PFC;可靠品质;全电压适用;LLC谐振;低噪音设计;稳定输出;高效转换;高效能;强劲供电;高效节能,1231200,20万+,1231200
电脑电源 500W 自营,铜牌500W台式机电源,129.00,硕一（soeyi）旗舰店,玄武V600 V2铜牌500W,5000+,jfs/t1/263804/29/29661/65281/67cba6d5F295da0f6/f6afcd8d792ab537.png,16784527,反向虚标够安心;高效转换;节能环保;三年只换不修,10128800296882,9000+,10128800296882
